orig_index,lat,lon,datetime,error
0,38.91557,-77.031697,2011/03/06 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
1,38.875558,-77.017556,2011/03/06 08:45:00+00,index 11 is out of bounds for axis 0 with size 10
2,38.872976,-77.016987,2011/03/05 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
3,38.929433,-77.003943,2011/03/08 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
4,38.89674,-77.027034,2011/03/08 17:18:00+00,index 11 is out of bounds for axis 0 with size 10
5,38.89093,-76.993494,2011/03/12 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
6,38.908478,-77.040086,2011/03/12 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
7,38.846563,-76.976504,2011/03/12 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
8,38.894783,-77.01292,2011/03/12 18:30:00+00,index 11 is out of bounds for axis 0 with size 10
9,38.934204,-77.034567,2011/03/14 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
10,38.899006,-77.041705,2011/04/02 07:47:00+00,index 11 is out of bounds for axis 0 with size 10
11,38.864403,-76.949122,2011/04/04 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
12,38.959598,-77.003614,2011/04/02 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
13,38.87362,-76.936018,2011/04/03 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
14,38.907707,-76.988301,2011/04/03 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
15,38.874461,-76.971676,2011/04/05 00:44:00+00,index 11 is out of bounds for axis 0 with size 10
16,38.875079,-76.967235,2011/04/06 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
17,38.824641,-76.997515,2011/04/08 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
18,38.950695,-76.994686,2011/04/09 17:00:00+00,index 11 is out of bounds for axis 0 with size 10
19,38.926608,-77.0259,2011/04/12 02:20:00+00,index 11 is out of bounds for axis 0 with size 10
20,38.901131,-76.945592,2011/04/11 06:19:00+00,index 11 is out of bounds for axis 0 with size 10
21,38.904346,-77.030259,2011/04/11 20:00:00+00,index 11 is out of bounds for axis 0 with size 10
22,38.909074,-77.013661,2011/04/14 00:00:00+00,index 11 is out of bounds for axis 0 with size 10
23,38.931208,-76.999755,2011/04/12 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
24,38.929546,-76.969746,2011/04/13 18:55:00+00,index 11 is out of bounds for axis 0 with size 10
25,38.923108,-77.070029,2011/04/21 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
26,38.900871,-76.945918,2011/04/14 14:15:00+00,index 11 is out of bounds for axis 0 with size 10
27,38.950467,-76.985662,2011/04/15 20:45:00+00,index 11 is out of bounds for axis 0 with size 10
28,38.829546,-77.011986,2011/04/15 04:41:00+00,index 11 is out of bounds for axis 0 with size 10
29,38.911126,-77.034809,2011/04/18 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
30,38.90775,-77.009655,2011/04/16 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
31,38.906395,-77.009188,2011/04/15 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
32,38.914276,-77.023967,2011/04/17 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
33,38.934569,-77.031801,2011/04/17 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
34,38.909343,-77.032618,2011/04/18 04:00:00+00,index 11 is out of bounds for axis 0 with size 10
